HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"0402.91.90.00","4","Other","[""kg"",""kg cmsc""]","31.3¢/kg","Free (BH,CL,JO,KR,MA,OM,P,PE,SG) 2¢/kg (CO) See 9822.04.30 (AU) See 9823.07.01-9823.07.07 (S+) See 9919.04.10, 9919.04.11, 9919.04.13 (PA)","36.8¢/kg","",""
"0402.99","2","Other:","","","","","",""
"","3","Condensed milk:","","","","","",""
"","4","Described in general note 15 of the tariff schedule and entered pursuant to its provisions:","","","","","",""
"0402.99.03.00","5","In airtight containers","[""kg""]","3.9¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","6¢/kg","",""
"0402.99.06.00","5","Other","[""kg""]","3.3¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","5.6¢/kg","",""
"","4","Described in additional U.S. note 11 to this chapter and entered pursuant to its provisions:","","","","","",""
"0402.99.10.00","5","In airtight containers","[""kg"",""kg cmsc""]","3.9¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6¢/kg","",""
"0402.99.30.00","5","Other","[""kg"",""kg cmsc""]","3.3¢/kg","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","5.6¢/kg","",""
"","4","Other:","","","","","",""
"0402.99.45.00","5","In airtight containers","[""kg"",""kg cmsc""]","49.6¢/kg","Free (BH,CL,JO,KR,MA,OM,P,PE,SG) 3.3¢/kg (CO) See 9822.04.30 (AU) See 9823.07.01-9823.07.07 (S+) See 9919.04.10, 9919.04.12, 99.19.04.14 (PA)","58.4¢/kg","",""
"0402.99.55.00","5","Other","[""kg"",""kg cmsc""]","49.6¢/kg","Free (BH,CL,JO,KR,MA,OM,P,PE,SG) 3.3¢/kg (CO) See 9822.04.30 (AU) See 9823.07.01-9823.07.07 (S+) See 9919.04.10, 9919.04.12, 99.19.04.14 (PA)","58.4¢/kg","",""
"","3","Other:","","","","","",""
"0402.99.68.00","4","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","17.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0402.99.70.00","4","Described in additional U.S. note 10 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","17.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0402.99.90.00","4","Other","[""kg"",""kg cmsc""]","46.3¢/kg + 14.9%","Free (BH,CL,JO,KR,MA,OM,P,PE,SG) 3¢/kg + 0.9% (PA) See 9822.04.25 (AU) See 9823.07.01-9823.07.07 (S+) See 9918.04.60, 9918.04.62 (CO)","54.5¢/kg + 17.5%","",""
"0403","0","Yogurt; buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar or other sweetening matter or flavored or containing added fruit, nuts or cocoa:","","","","","",""
"0403.20","1","Yogurt:","","","","","",""
"","2","In dry form:","","","","","",""
"0403.20.05.00","3","Described in general note 15 of the tariff schedule and entered pursuant to its provisions.","[""kg""]","20%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"0403.20.10.00","3","Described in additional U.S. note 10 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","20%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"0403.20.50.00","3","Other","[""kg"",""kg cmsc""]","$1.035/kg + 17%","Free (BH,CL,JO,KR,MA,OM,P,PE,SG) 6.9¢/kg + 1.1% (PA) See 9822.04.25 (AU) See 9823.06.01-9823.06.09 (S+) See 9918.04.60, 9918.04.63 (CO)","$1.217/kg + 20%","",""
"0403.20.90.00","2","Other","[""kg"",""kg cmsc""]","17%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"0403.90","1","Other:","","","","","",""
"","2","Sour cream containing not over 45 percent by weight of butterfat; buttermilk:","","","","","",""
"","3","Fluid:","","","","","",""
"","4","Sour cream:","","","","","",""
"0403.90.02.00","5","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""liters""]","3.2¢/liter","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","15¢/liter","",""
"0403.90.04.00","5","Described in additional U.S. note 5 to this chapter and entered pursuant to its provisions","[""liters"",""kg cmsc""]","3.2¢/liter","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15¢/liter","",""
"0403.90.16.00","5","Other","[""liters"",""kg cmsc""]","77.2¢/liter","Free (BH,CL,CO,JO,KR,MA,OM,P,PE,SG) 5.1¢/liter (PA) See 9822.04.05 (AU) See 9823.01.01-9823.01.07 (S+)","90.8¢/liter","",""
"0403.90.20.00","4","Buttermilk","[""liters"",""kg cmsc""]","0.34¢/liter","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)","0.5¢/liter","",""
"","3","Dried:","","","","","",""
"","4","Containing not over 6 percent by weight of butterfat:","","","","","",""
"0403.90.37.00","5","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","3.3¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)","6.6¢/kg","",""
"0403.90.41","5","Described in additional U.S. note 12 to this chapter and entered pursuant to its provisions","","3.3¢/kg","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6.6¢/kg","",""
"0403.90.41.10","6","Articles for which an import license is required","[""kg"",""kg cmsc""]","","","","",""
"0403.90.41.90","6","Other","[""kg"",""kg cmsc""]","","","","",""
"0403.90.45.00","5","Other","[""kg"",""kg cmsc""]","87.6¢/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 5.8¢/kg (CO,KR,PA) See 9822.04.20 (AU) See 9823.06.01-9823.06.09 (S+)","$1.03/kg","",""
"","4","Containing over 6 percent but not over 35 percent by weight of butterfat:","","","","","",""
"0403.90.47.00","5","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","6.8¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)","13.7¢/kg","",""
"0403.90.51.00","5","Described in additional U.S. note 8 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","6.8¢/kg","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","13.7¢/kg","",""
"0403.90.55.00","5","Other","[""kg"",""kg cmsc""]","$1.092/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 7.2¢/kg (CO,KR,PA) See 9822.04.20 (AU) See 9823.06.01-9823.06.09 (S+)","$1.285/kg","",""
"","4","Other:","","","","","",""
"0403.90.57.00","5","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","13.7¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","27.3¢/kg","",""
"0403.90.61.00","5","Described in additional U.S. note 9 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","13.7¢/kg","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","27.3¢/kg","",""
"0403.90.65.00","5","Other","[""kg"",""kg cmsc""]","$1.556/kg","Free (BH,CL,JO,KR,MA,OM,P,PE,SG) 10.3¢/kg (CO,PA) See 9822.04.10 (AU) See 9823.03.01-9823.03.12 (S+)","$1.831/kg","",""
"","2","Sour cream containing over 45 percent by weight of butterfat:","","","","","",""
"0403.90.72.00","3","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","12.3¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30.9¢/kg","",""
"0403.90.74.00","3","Described in additional U.S. note 6 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","12.3¢/kg","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30.9¢/kg","",""
"0403.90.78.00","3","Other","[""kg"",""kg cmsc""]","$1.646/kg","Free (BH,CL,CO,JO,KR,MA,OM,P,PE,SG) 10.9¢/kg (PA) See 9822.04.10 (AU) See 9823.03.01-9823.03.12 (S+) See 9908.04.01 (IL)","$1.936/kg","",""
"","2","Other:","","","","","",""
"0403.90.85.00","3","Fermented milk other than dried fermented milk or other than dried milk with added lactic ferments","[""kg"",""kg cmsc""]","17%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"","3","Other:","","","","","",""
"0403.90.87.00","4","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","20%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"0403.90.90.00","4","Described in additional U.S. note 10 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","20%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"0403.90.95.00","4","Other","[""kg"",""kg cmsc""]","$1.034/kg + 17%","Free (BH,CL,JO,KR,MA,OM,P,SG) 6.8¢/kg + 1.1% (PA) See 9822.04.25 (AU) See 9823.06.01-9823.06.09 (S+) See 9918.04.60, 9918.04.64 (CO)","$1.217/kg + 20%","",""
"0404","0","Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included:","","","","","",""
"0404.10","1","Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter:","","","","","",""
"","2","Modified whey:","","","","","",""
"0404.10.05.00","3","Whey protein concentrates","[""kg"",""kg cmsc""]","8.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"","3","Other:","","","","","",""
"0404.10.08.00","4","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","13%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"0404.10.11.00","4","Described in additional U.S. note 10 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","13%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"0404.10.15.00","4","Other","[""kg"",""kg cmsc""]","$1.035/kg + 8.5%","Free (BH,CL,JO,KR,MA,OM,P,PE,SG) 6.9¢/kg + 0.5% (PA) See 9822.04.25 (AU) See 9823.06.01-9823.06.09 (S+) See 9918.04.60, 9918.04.65 (CO)","$1.217/kg + 10%","",""
"","2","Other:","","","","","",""
"0404.10.20.00","3","Fluid","[""liters"",""kg cmsc""]","0.34¢/liter","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)","0.5¢/liter","",""
"","3","Dried:","","","","","",""
"0404.10.48.00","4","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","3.3¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6.6¢/kg","",""
"0404.10.50","4","Described in additional U.S. note 12 to this chapter and entered pursuant to its provisions","","3.3¢/kg","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6.6¢/kg","",""
"0404.10.50.10","5","Articles for which an import license is required","[""kg"",""kg cmsc""]","","","","",""
"0404.10.50.90","5","Other","[""kg"",""kg cmsc""]","","","","",""
"0404.10.90.00","4","Other","[""kg"",""kg cmsc""]","87.6¢/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 5.8¢/kg (CO,KR,PA) See 9822.04.20 (AU) See 9823.06.01-9823.06.09 (S+)","$1.03/kg","",""
"0404.90","1","Other:","","","","","",""
"0404.90.10.00","2","Milk protein concentrates","[""kg"",""kg cmsc""]","0.37¢/kg","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","12¢/kg","",""
"","2","Other:","","","","","",""
"","3","Dairy products described in additional U.S. note 1 to chapter 4:","","","","","",""
"0404.90.28.00","4","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","14.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"0404.90.30.00","4","Described in additional U.S. note 10 to this chapterand entered pursuant to its provisions","[""kg"",""kg cmsc""]","14.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"0404.90.50.00","4","Other","[""kg"",""kg cmsc""]","$1.189/kg + 8.5%","Free (BH,CL,JO,KR,MA,OM,P,PE,SG) 7.9¢/kg + 0.5% (PA) See 9822.04.25 (AU) See 9823.06.01-9823.06.09 (S+) See 9918.04.60, 9918.04.66 (CO)","$1.399/kg + 10%","",""
"0404.90.70.00","3","Other","[""kg"",""kg cmsc""]","8.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"0405","0","Butter and other fats and oils derived from milk; dairy spreads:","","","","","",""
"0405.10","1","Butter:","","","","","",""
"0405.10.05.00","2","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","12.3¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)","30.9¢/kg","",""
"0405.10.10.00","2","Described in additional U.S. note 6 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","12.3¢/kg","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30.9¢/kg","",""
"0405.10.20.00","2","Other","[""kg"",""kg cmsc""]","$1.541/kg","Free (BH,CL,CO,JO,KR,MA,OM,P,PE,SG) 10.2¢/kg (PA) See 9822.04.10 (AU) See 9823.03.01-9823.03.12 (S+) See 9908.04.01 (IL)","$1.813/kg","",""
"0405.20","1","Dairy spreads:","","","","","",""
"","2","Butter substitutes, whether in liquid or solid state:","","","","","",""
"","3","Containing over 45 percent by weight of butterfat:","","","","","",""
"0405.20.10.00","4","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","15.4¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","31¢/kg","",""
"0405.20.20.00","4","Described in additional U.S. note 14 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","15.4¢/kg","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","31¢/kg","",""
"0405.20.30.00","4","Other","[""kg"",""kg cmsc""]","$1.996/kg","Free (BH,CL,CO,JO,KR,MA,OM,P,PE,SG) 13.3¢/kg (PA) See 9822.04.10 (AU) See 9823.03.01-9823.03.12 (S+)","$2.348/kg","",""
"0405.20.40.00","3","Other","[""kg"",""kg cmsc""]","13.1¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","31¢/kg","",""
"","2","Other:","","","","","",""
"","3","Dairy products described in additional U.S. note 1 to chapter 4:","","","","","",""
"0405.20.50.00","4","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","10%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"0405.20.60.00","4","Described in additional U.S. note 10 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","10%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"0405.20.70.00","4","Other","[""kg"",""kg cmsc""]","70.4¢/kg + 8.5%","Free (BH,CL,JO,KR,MA,OM,P,PE,SG) 4.6¢/kg + 0.5% (PA) See 9822.04.25 (AU) See 9823.03.01-9823.03.12 (S+) See 9918.04.60, 9918.04.67 (CO)","82.8¢/kg + 10%","",""
"0405.20.80.00","3","Other","[""kg"",""kg cmsc""]","6.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"0405.90","1","Other:","","","","","",""
"0405.90.05","2","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","","10%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"0405.90.05.20","3","Anhydrous milk fat","[""kg""]","","","","",""
"0405.90.05.40","3","Other","[""kg""]","","","","",""
"0405.90.10","2","Described in additional U.S. note 14 to this chapter and entered pursuant to its provisions","","10%","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"0405.90.10.20","3","Anhydrous milk fat","[""kg"",""kg cmsc""]","","","","",""
"0405.90.10.40","3","Other","[""kg"",""kg cmsc""]","","","","",""
"0405.90.20","2","Other","","$1.865/kg + 8.5%","Free (BH,CL,CO,JO,KR,MA,OM,P,PE,SG) 12.4¢/kg + 0.5% (PA) See 9822.04.10 (AU) See 9823.03.01-9823.03.12 (S+)","$2.194/kg + 10%","",""
"0405.90.20.20","3","Anhydrous milk fat","[""kg"",""kg cmsc""]","","","","",""
"0405.90.20.40","3","Other","[""kg"",""kg cmsc""]","","","","",""
"0406","0","Cheese and curd:","","","","","",""
"0406.10","1","Fresh (unripened or uncured) cheese, including whey cheese, and curd:","","","","","",""
"","2","Chongos:","","","","","",""
"0406.10.02.00","3","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","10%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.10.04.00","3","Described in additional U.S.note 16 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","10%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.10.08.00","3","Other","[""kg"",""kg cmsc""]","$1.509/kg","Free (BH,CL,JO,MA,OM,P,SG) 10¢/kg (KR) See 9822.04.35 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.51 (CO) See 9919.04.40, 9919.04.41-9919.04.42 (PA)","$1.775/kg","",""
"","2","Other:","","","","","",""
"0406.10.12.00","3","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","10%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"","3","Other:","","","","","",""
"","4","Blue-mold cheese and cheese and substitutes for cheese containing, or processed from, blue-mold cheese:","","","","","",""
"0406.10.14.00","5","Described in additional U.S. note 17 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","10%","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.10.18.00","5","Other","[""kg"",""kg cmsc""]","$2.269/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 15.1¢/kg (KR) See 9822.04.40 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.52 (CO) See 9919.04.50, 9919.04.51, 9919.04.61 (PA)","$2.67/kg","",""
"","4","Cheddar cheese, and cheese and substitutes for cheese containing, or processed from, Cheddar cheese:","","","","","",""
"0406.10.24.00","5","Described in additional U.S. note 18 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","10%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.10.28.00","5","Other","[""kg"",""kg cmsc""]","$1.227/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 8.1¢/kg (KR) See 9822.04.45 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.53 (CO) See 9919.04.50, 9919.04.52, 9919.04.62 (PA)","$1.443/kg","",""
"","4","American-type cheese, including Colby, washed curd and granular cheese (but not including Cheddar cheese), and cheese and substitutes for cheese containing, or processed from, such American-type cheese:","","","","","",""
"0406.10.34.00","5","Described in additional U.S. note 19 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","10%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0406.10.38.00","5","Other","[""kg"",""kg cmsc""]","$1.055/kg","Free (BH,CL,JO,MA,OM,P,PE,SG) 7¢/kg (KR) See 9822.04.50 (AU) See 9823.04.01-9823.04.54 (S+) See 9908.04.05 (IL) See 9918.04.50, 9918.04.54 (CO) See 9919.04.50, 9919.04.53, 9919.04.63 (PA)","$1.241/kg","",""
"","4","Edam and Gouda cheeses, and cheese and substitutes for processed from, Edam and Gouda cheese:","","","","","",""
